,week,day,time_of_day,class_type,faculty,school,joint,status,degree,enrollment,class_duration
1420,3,0,1,0,4,26,1,4,2,404,1
1421,7,4,2,0,5,8,0,4,2,291,2
1422,2,1,1,0,6,23,0,4,2,296,2
1423,3,4,1,0,6,18,0,4,2,400,2
1424,3,4,0,0,6,18,0,4,2,416,2
1425,3,4,2,0,5,8,0,4,2,291,2
1426,8,0,0,0,5,8,0,4,2,447,1
1427,2,4,0,0,5,28,0,2,2,271,1
1428,9,3,1,0,5,8,0,4,2,447,1
1429,7,4,0,0,6,18,0,4,2,416,2
1430,1,2,2,0,6,18,0,4,2,397,2
1431,4,3,2,0,4,26,1,4,2,404,1
1432,3,4,2,0,4,26,1,4,2,404,1
1433,2,3,0,0,2,17,1,4,1,321,1
1434,3,0,3,1,2,25,0,4,2,326,1
1435,2,3,2,0,4,26,1,4,2,404,1
1436,9,3,2,0,4,26,1,4,2,404,1
1437,4,3,0,0,6,23,0,4,2,455,2
1438,3,4,3,0,2,16,0,4,0,344,3
1439,3,1,2,0,5,8,0,4,2,399,2
1440,7,1,2,0,5,8,0,4,2,399,2
1441,7,1,1,0,6,23,0,4,2,296,2
1442,9,3,2,0,5,8,0,4,2,399,2
1443,2,3,2,0,5,8,0,4,2,399,2
1444,3,1,1,0,6,23,0,4,2,296,2
1445,5,2,0,0,6,30,0,4,2,269,2
1446,5,0,0,0,5,8,0,4,2,447,1
1447,7,4,1,0,6,18,0,4,2,400,2
1448,7,1,2,0,2,16,0,4,2,418,2
1449,4,4,2,0,5,8,0,4,2,291,2
1450,2,1,2,0,5,8,0,4,2,399,2
1451,4,3,2,0,5,8,0,4,2,399,2
1452,2,0,0,0,5,8,0,4,2,447,1
1453,10,1,1,0,5,15,0,4,2,386,1
1454,2,3,1,0,5,8,0,4,2,447,1
1455,2,4,2,0,4,26,1,4,2,404,1
1456,4,3,0,0,2,17,1,4,1,321,1
1457,6,3,0,0,5,28,0,2,2,231,1
1458,3,1,1,0,5,15,0,4,2,386,1
1459,5,0,2,0,5,8,0,4,2,306,2
1460,4,4,1,0,6,18,0,4,2,400,2
1461,4,2,1,0,2,25,0,4,2,399,3
1462,7,1,0,0,6,18,0,4,2,421,2
1463,5,1,2,0,2,16,0,4,2,418,2
1464,2,0,2,0,5,8,0,4,2,306,2
1465,5,3,0,0,2,17,1,4,1,321,1
1466,6,3,2,0,4,26,1,4,2,404,1
1467,2,3,0,0,6,23,0,4,2,455,2
1468,3,1,0,0,6,18,0,4,2,421,2
1469,2,1,1,0,5,15,0,4,2,386,1
1470,7,1,1,0,5,15,0,4,2,386,1
1471,3,1,2,0,2,16,0,4,2,418,2
1472,4,4,0,0,6,18,0,4,2,416,2
1473,2,1,2,0,2,16,0,4,2,418,2
1474,4,4,2,0,4,26,1,4,2,404,1
1475,2,0,0,0,2,17,1,4,1,303,1
1476,4,3,0,0,5,28,0,2,2,231,1
1477,1,2,1,0,2,25,0,4,2,399,3
1478,3,3,2,0,5,8,0,4,2,399,2
1479,3,3,2,0,4,26,1,4,2,404,1
1480,3,3,0,0,5,28,0,2,2,231,1
1481,3,1,3,0,6,11,0,4,2,133,2
1482,1,0,1,0,4,26,1,4,2,404,1
1483,4,4,3,0,2,16,0,4,0,344,3
1484,5,2,2,0,5,8,0,4,2,381,2
1485,4,2,3,0,6,18,0,4,2,374,2
1486,2,0,0,0,5,4,0,4,2,238,1
1487,3,4,1,0,2,16,0,4,2,418,1
1488,4,4,0,0,5,28,0,2,2,271,1
1489,5,1,0,0,6,18,0,4,2,421,2
1490,1,1,3,0,6,11,0,4,2,133,2
