week,day,time_of_day,class_type,faculty,school,joint,degree,enrollment,class_duration,class_type_new
7,0,2,0,5,8,0,2,151,2,4
2,2,0,0,5,28,0,2,81,1,2
1,3,2,0,2,25,1,2,214,4,4
2,0,0,0,0,29,0,2,94,2,3
0,3,1,0,0,31,0,2,167,1,3
4,0,1,0,5,6,0,2,185,1,3
5,1,3,0,2,16,0,0,95,3,3
4,2,3,0,2,16,1,0,126,3,4
0,0,0,0,0,29,0,2,94,2,3
1,3,3,0,2,16,0,0,234,3,4
1,1,2,0,4,9,0,2,222,1,4
10,4,1,0,5,6,0,2,185,1,3
10,1,0,0,0,20,0,2,173,2,3
0,3,3,0,2,16,0,0,234,3,4
4,2,1,0,5,6,1,2,183,1,3
10,0,1,0,5,6,0,2,185,1,3
3,1,1,0,5,6,1,2,183,1,4
10,1,2,0,4,9,0,2,222,1,2
4,2,0,0,1,0,0,2,197,1,4
11,2,2,0,0,29,0,2,115,2,1
5,1,1,0,5,6,1,2,183,1,4
7,4,0,0,2,21,0,2,219,1,3
2,2,0,0,1,0,0,2,197,1,4
11,2,3,0,2,16,1,0,126,3,2
9,2,3,0,2,16,1,0,126,3,2
11,2,0,0,1,0,0,2,197,1,3
1,1,3,0,2,16,0,0,95,3,3
2,2,3,0,2,16,1,0,126,3,3
7,4,2,0,5,4,0,2,122,1,3
9,2,0,0,5,28,0,2,81,1,1
3,1,2,0,6,19,1,1,109,2,2
11,0,2,0,5,8,0,2,151,2,2
2,4,1,0,0,10,0,2,46,2,2
8,4,2,0,0,10,0,2,74,1,3
2,1,0,0,5,4,0,2,23,1,1
11,4,2,0,0,10,0,2,74,1,3
8,1,0,0,5,4,0,2,23,1,1
0,1,1,0,5,28,0,2,79,1,1
4,3,0,0,5,6,0,2,40,1,1
1,0,0,0,2,16,1,2,58,2,1
1,0,2,0,5,4,1,2,56,1,1
8,3,0,0,5,6,0,2,40,1,1
0,1,0,0,5,4,0,2,23,1,1
1,4,1,0,1,3,0,2,80,4,3
2,1,2,0,0,29,0,2,34,1,2
4,1,1,0,5,28,0,2,79,1,2
2,1,1,0,5,28,0,2,79,1,2
1,0,0,0,5,4,0,2,62,1,1
7,2,0,0,5,8,0,2,105,1,3
1,4,2,0,0,29,0,2,97,1,3
1,4,2,0,6,7,0,0,45,2,2
2,4,2,0,0,10,0,2,74,1,3
9,4,1,0,1,3,0,2,80,4,3
3,2,1,0,5,1,0,2,91,2,3
0,1,2,0,0,29,0,2,34,1,1
3,2,0,0,0,10,0,2,30,2,1
2,3,0,0,5,6,0,2,40,1,1
5,2,1,0,5,1,0,2,91,2,3
9,3,0,0,5,6,0,2,40,1,1
9,4,1,0,0,10,0,2,46,2,2
0,1,0,0,0,31,0,2,97,1,3
3,2,0,0,5,8,0,2,105,1,3
4,3,2,0,0,10,0,2,52,1,2
5,2,0,0,5,8,0,2,105,1,3
9,4,2,0,0,10,0,2,74,1,3
8,1,1,0,5,28,0,2,79,1,1
5,1,0,0,5,4,0,2,23,1,1
2,4,2,0,0,29,0,2,97,1,3
1,4,1,0,0,10,0,2,46,2,2
1,0,2,2,2,21,0,2,97,1,3
8,4,1,0,0,10,0,2,46,2,2
7,2,1,0,5,1,0,2,91,2,3
3,3,0,0,5,6,0,2,40,1,1
0,1,2,0,2,16,0,2,34,2,1
11,1,1,0,5,28,0,2,79,1,1
0,3,0,0,5,6,0,2,40,1,1
11,4,1,0,0,10,0,2,46,2,1
3,0,2,2,2,21,0,2,97,1,3
3,0,2,0,5,4,1,2,56,1,1
2,4,2,0,6,7,0,0,45,2,1
7,2,0,0,0,10,0,2,30,2,1
0,4,1,0,0,10,0,2,46,2,2
5,0,2,2,2,21,0,2,97,1,2
3,0,0,0,5,4,0,2,62,1,1
4,4,1,0,0,10,0,2,46,2,2
8,3,1,0,2,16,0,2,51,2,1
0,4,2,0,0,10,0,2,74,1,3
0,3,2,0,0,10,0,2,52,1,2
4,1,2,0,0,29,0,2,34,1,2
2,1,0,0,0,31,0,2,97,1,3
5,2,0,0,0,10,0,2,30,2,1
2,3,2,0,0,10,0,2,52,1,2
8,0,0,0,5,4,0,2,62,1,1
5,1,2,0,0,29,0,2,34,1,1
5,3,2,0,0,10,0,2,52,1,1
7,2,2,0,5,24,0,2,48,2,2
8,3,2,0,0,10,0,2,52,1,1
1,4,2,0,0,10,0,2,74,1,3
